MovieID,Title,imdbID,spanishTitle,year,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL,KMeans_Cluster
1,Toy story,114709,Toy story (juguetes),1995,9.0,73.0,73.0,0.0,100.0,8.5,17.0,17.0,0.0,100.0,3.7,102338.0,81.0,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg,0
2,Jumanji,113497,Jumanji,1995,5.6,28.0,13.0,15.0,46.0,5.8,5.0,2.0,3.0,40.0,3.2,44587.0,61.0,http://content8.flixster.com/movie/56/79/73/5679734_det.jpg,0
3,Grumpy Old Men,107050,Dos viejos gruñones,1993,5.9,36.0,24.0,12.0,66.0,7.0,6.0,5.0,1.0,83.0,3.2,10489.0,66.0,http://content6.flixster.com/movie/25/60/256020_det.jpg,0
4,Waiting to Exhale,114885,Esperando un respiro,1995,5.6,25.0,14.0,11.0,56.0,5.5,11.0,5.0,6.0,45.0,3.3,5666.0,79.0,http://content9.flixster.com/movie/10/94/17/10941715_det.jpg,0
5,Father of the Bride Part II,113041,Vuelve el padre de la novia (Ahora también abuelo),1995,5.3,19.0,9.0,10.0,47.0,5.4,5.0,1.0,4.0,20.0,3.0,13761.0,64.0,http://content8.flixster.com/movie/25/54/255426_det.jpg,0
6,Heat,113277,Heat,1995,7.7,58.0,50.0,8.0,86.0,7.2,17.0,14.0,3.0,82.0,3.9,42785.0,92.0,http://content9.flixster.com/movie/26/80/268099_det.jpg,0
7,Sabrina,47437,Sabrina,1954,7.4,31.0,28.0,3.0,90.0,7.2,5.0,5.0,0.0,100.0,3.8,12812.0,87.0,http://content7.flixster.com/movie/10/93/36/10933669_det.jpg,0
8,Tom and Huck,112302,Tom y Huck,1995,4.2,8.0,2.0,6.0,25.0,0.0,2.0,1.0,1.0,50.0,2.7,2649.0,45.0,http://content9.flixster.com/movie/26/16/261691_det.jpg,4
9,Sudden Death,114576,Sudden Death: muerte súbita,1995,5.2,32.0,17.0,15.0,53.0,5.6,9.0,5.0,4.0,55.0,2.6,3626.0,40.0,http://content8.flixster.com/movie/27/91/279122_det.jpg,0
10,GoldenEye,113189,GoldenEye,1995,6.8,41.0,33.0,8.0,80.0,6.2,11.0,7.0,4.0,63.0,3.4,28260.0,78.0,http://content9.flixster.com/movie/26/66/266699_det.jpg,0
11,The American President,112346,El presidente y Miss Wade,1995,7.0,49.0,44.0,5.0,89.0,7.2,18.0,16.0,2.0,88.0,3.2,8320.0,71.0,http://content7.flixster.com/movie/25/42/254205_det.jpg,0
12,Dracula: Dead and Loving It,112896,"Drácula, un muerto muy contento y feliz",1995,3.0,35.0,3.0,32.0,8.0,3.7,10.0,2.0,8.0,20.0,2.8,10078.0,52.0,http://content8.flixster.com/movie/10/89/17/10891774_det.jpg,0
13,Balto,112453,Balto. La leyenda del perro esquimal,1995,5.8,12.0,6.0,6.0,50.0,0.0,4.0,1.0,3.0,25.0,3.2,9195.0,66.0,http://content7.flixster.com/movie/25/16/251605_det.jpg,4
14,Nixon,113987,Nixon,1995,6.7,56.0,42.0,14.0,75.0,6.1,18.0,12.0,6.0,66.0,3.5,3256.0,72.0,http://content6.flixster.com/movie/28/30/283016_det.jpg,0
15,Cutthroat Island,112760,La isla de las Cabezas Cortadas,1995,4.4,31.0,14.0,17.0,45.0,4.7,6.0,3.0,3.0,50.0,2.6,3350.0,42.0,http://content6.flixster.com/movie/25/69/256908_det.jpg,0
16,Casino,112641,"Casino, de Scorsese",1995,7.2,58.0,47.0,11.0,81.0,6.3,16.0,11.0,5.0,68.0,3.9,66463.0,91.0,http://content8.flixster.com/movie/10/87/61/10876102_det.jpg,0
17,Sense and Sensibility,114388,Sentido y sensibilidad,1995,7.9,49.0,48.0,1.0,97.0,8.1,14.0,13.0,1.0,92.0,3.8,32782.0,88.0,http://content6.flixster.com/movie/11/12/50/11125040_det.jpg,0
18,Four Rooms,113101,Four Rooms,1995,3.5,42.0,6.0,36.0,14.0,2.9,11.0,0.0,11.0,0.0,3.5,14266.0,72.0,http://content7.flixster.com/movie/93/49/77/9349773_det.jpg,3
19,Ace Ventura: When Nature Calls,112281,"Ace Ventura, operación África",1995,4.1,25.0,9.0,16.0,36.0,0.0,3.0,1.0,2.0,33.0,3.2,87306.0,73.0,http://content7.flixster.com/movie/10/94/18/10941853_det.jpg,4
20,Money Train,113845,Asalto al tren del dinero,1995,4.0,24.0,4.0,20.0,16.0,4.5,5.0,1.0,4.0,20.0,2.7,5263.0,38.0,http://content9.flixster.com/movie/11/12/51/11125103_det.jpg,0
21,Get Shorty,113161,Cómo conquistar Hollywood,1995,7.7,49.0,42.0,7.0,85.0,8.4,14.0,14.0,0.0,100.0,3.2,10155.0,63.0,http://content7.flixster.com/movie/98/65/89/9865893_det.jpg,0
22,Copycat,112722,Copycat: copia mortal,1995,6.6,32.0,24.0,8.0,75.0,7.4,5.0,4.0,1.0,80.0,3.1,5628.0,58.0,http://content9.flixster.com/movie/27/27/272723_det.jpg,0
23,Ninja Assassin,1186367,Ninja Assassin,2009,4.3,106.0,27.0,79.0,25.0,4.6,20.0,6.0,14.0,30.0,3.4,107023.0,58.0,http://content6.flixster.com/movie/10/89/12/10891232_det.jpg,3
24,Powder,114168,Powder - pura energía,1995,5.2,19.0,9.0,10.0,47.0,4.9,5.0,0.0,5.0,0.0,3.1,6650.0,67.0,http://content7.flixster.com/movie/25/59/255901_det.jpg,0
